Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
Pizza Hut,Hand Tossed Slices Meat Lover’s® Large,Pizza,390,Low,30,Low,21,Low,8,Low,0,Low,45,Low,830,Low,34,Low,3,Low,2,Low,17,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Small,Pizza,130,Low,30,Low,5,Low,2,Low,0,Low,10,Low,260,Low,16,Low,1,Low,1,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Medium,Pizza,220,Low,30,Low,9,Low,4,Low,0,Low,20,Low,420,Low,25,Low,2,Low,1,Low,9,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Large,Pizza,300,Low,30,Low,13,Low,6,Low,0,Low,30,Low,590,Low,34,Low,3,Low,2,Low,13,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Small,Pizza,160,Low,30,Low,7,Low,3,Low,0,Low,20,Low,310,Low,17,Low,1,Low,1,Low,7,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Medium,Pizza,270,Low,30,Low,13,Low,6,Low,0,Low,35,Low,530,Low,26,Low,2,Low,1,Low,12,Low,40,Low
Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Large,Pizza,370,Low,30,Low,18,Low,8,Low,0,Low,50,Low,740,Low,35,Low,3,Low,2,Low,17,Low,40,Low
Pizza Hut,Hand Tossed Slices Supreme Small,Pizza,150,Low,30,Low,6,Low,2.5,Low,0,Low,15,Low,280,Low,17,Low,1,Low,1,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Supreme Medium,Pizza,240,Low,30,Low,10,Low,4,Low,0,Low,25,Low,450,Low,26,Low,2,Low,2,Low,10,Low,40,Low
Pizza Hut,Hand Tossed Slices Supreme Large,Pizza,320,Low,30,Low,14,Low,6,Low,0,Low,35,Low,630,Low,35,Low,3,Low,2,Low,14,Low,40,Low
Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Small,Pizza,150,Low,30,Low,6,Low,2.5,Low,0,Low,15,Low,250,Low,16,Low,1,Low,1,Low,6,Low,40,Low
Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Medium,Pizza,230,Low,30,Low,10,Low,4.5,Low,0,Low,25,Low,390,Low,25,Low,2,Low,1,Low,11,Low,40,Low
Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Large,Pizza,310,Low,30,Low,13,Low,6,Low,0,Low,35,Low,540,Low,33,Low,2,Low,1,Low,15,Low,40,Low
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Small,Breakfast,120,Low,244.5762712,Low,4,Low,1.5,Low,0,Low,10,Low,230,Low,17,Low,1,Low,1,Low,5,Low,510.8305085,Mid
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Medium,Breakfast,200,Low,244.5762712,Low,6,Low,2.5,Low,0,Low,15,Low,370,Low,27,Low,2,Low,2,Low,8,Low,510.8305085,Mid
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Large,Breakfast,260,Low,244.5762712,Low,9,Low,4,Low,0,Low,20,Low,510,Low,36,Low,3,Low,3,Low,11,Low,510.8305085,Mid
